
1000 1
99	44	50	98	40
50	2	93	31	49
5	56	80	57	37
26	11	19	64	49
73	1	75	6	68
9	91	60	99	33
88	32	85	3	29
73	95	56	100	61
84	34	46	59	6
11	96	86	88	87
54	95	92	14	69
60	30	66	86	73
34	37	74	84	49
62	88	56	26	42
45	34	43	68	77
67	1	47	65	84
7	10	78	97	45
4	22	96	74	73
59	24	69	70	27
70	68	33	72	71
33	62	65	12	60
98	78	61	65	30
6	67	71	57	60
50	75	20	97	10
65	2	39	100	47
47	9	39	73	83
56	86	29	86	89
30	59	38	38	2
63	49	1	20	99
81	20	48	93	24
52	41	75	99	19
72	66	80	67	7
57	27	91	65	70
5	41	48	43	35
64	99	53	37	87
9	55	72	6	17
63	12	8	7	55
82	55	67	50	43
2	36	50	91	48
68	44	21	1	65
66	94	37	95	82
72	15	8	6	74
11	81	5	80	94
2	16	82	93	46
95	84	35	4	10
48	69	46	99	65
94	95	12	54	81
23	13	37	20	32
18	56	34	84	44
31	51	70	38	82
80	27	40	98	21
32	45	1	3	48
92	19	4	67	27
4	86	31	16	25
32	66	93	48	56
17	36	47	26	59
7	47	17	43	11
64	90	12	15	3
18	88	49	37	92
30	93	87	18	77
14	49	48	25	79
5	97	33	25	52
21	60	64	15	90
24	85	47	4	28
99	4	54	91	6
51	68	18	20	13
95	58	8	15	87
53	65	71	61	19
75	28	82	14	14
50	67	85	71	7
32	23	1	32	73
11	39	100	69	33
85	31	15	13	5
23	12	23	99	53
77	68	64	3	39
63	62	35	42	87
11	46	58	87	11
50	50	14	61	12
84	26	52	13	1
60	32	2	56	13
11	7	33	82	45
3	55	100	44	69
88	22	70	83	30
23	22	27	37	27
55	41	26	77	16
3	60	75	2	76
82	2	49	30	84
65	16	47	34	85
89	82	25	19	22
29	98	55	84	49
69	26	10	15	70
67	56	47	36	11
33	23	26	6	73
59	33	37	91	71
21	1	90	18	55
28	35	34	90	34
52	88	19	49	62
72	3	13	85	100
9	24	76	38	40
4	74	92	33	12
38	7	45	65	28
18	86	11	82	76
75	40	46	50	78
48	18	7	74	71
79	57	46	92	46
52	58	69	87	59
50	24	29	55	86
79	3	21	73	100
15	44	1	87	79
63	3	49	65	34
96	9	28	81	49
41	74	69	48	31
14	70	22	85	30
56	77	15	7	46
1	20	13	30	72
31	95	35	91	24
64	92	57	6	72
3	36	95	33	9
93	53	86	39	37
14	74	8	44	60
64	45	5	95	79
89	5	85	9	96
60	95	97	44	86
13	55	23	5	86
63	12	44	33	33
67	2	39	13	75
33	10	76	83	13
1	5	72	38	80
3	96	20	3	50
5	43	34	37	22
96	58	32	5	89
42	90	20	38	24
85	15	22	33	2
51	74	65	59	71
89	55	89	76	32
86	86	15	59	63
62	71	47	82	76
84	67	86	51	75
34	76	46	61	43
83	2	48	64	46
87	44	62	72	59
30	31	71	90	89
61	4	76	52	51
2	89	4	9	14
26	83	81	97	24
34	19	56	42	82
45	64	29	64	10
5	88	99	35	64
69	27	5	52	3
83	92	46	27	37
94	80	92	72	8
33	69	76	47	30
46	29	55	15	58
81	86	28	16	7
95	82	44	49	95
92	11	44	31	95
60	40	38	92	16
91	59	88	71	44
93	52	25	66	38
70	33	73	51	1
34	20	7	36	48
98	9	10	55	24
35	17	83	66	64
100	30	95	17	68
20	89	22	25	41
86	78	40	20	37
4	79	93	44	19
49	51	96	64	92
73	83	40	33	84
16	89	22	59	21
23	49	57	23	69
58	40	3	1	40
88	87	87	58	35
6	2	73	61	14
33	55	7	50	93
49	37	74	53	77
69	25	55	34	32
38	34	78	36	85
84	86	66	99	51
97	95	23	50	18
94	17	21	96	53
32	5	51	63	79
70	90	1	13	43
81	17	15	85	19
80	85	3	53	90
58	36	71	72	92
7	81	76	65	40
39	6	39	41	84
56	36	68	85	87
94	15	42	62	38
40	19	58	92	88
52	23	93	74	47
2	59	24	95	90
72	39	56	31	92
35	61	94	64	92
50	100	7	61	10
12	93	99	13	63
21	84	13	82	69
7	13	31	52	79
77	19	41	4	51
